"","ID","GENDER_CODE","CITY","STATE_CODE","ZIPCODE","HAVE_PHONE","EMAIL_ADDRESS","DEGREE1_GRAD_DATE","DEGREE1_CAMPUS","DEGREE1_DEGREE","DEGREE1_SCHOOL","DEGREE1_MAJOR","DEGREE2_GRAD_DATE","DEGREE2_CAMPUS","DEGREE2_DEGREE","DEGREE2_SCHOOL","DEGREE2_MAJOR","NON.UT_DEGREES","SpouseGradUT","SPOUSE_NON_UT_DEGREES","RELATIONS_UT","FRATERNITY.SORORITY","STUDENT.LIFE","X1ST_GIFT_UT","WE","LOGAMOUNT"
"23233",2620,"M","","","Unknown","Yes","Present",1989,"UTK","Master of Arts","Bus Adm - UTK","Economics",1992,"UTK","Doctor of Philosophy","Bus Adm - UTK","Economics","No","","No","Missing","","N",2003,"WE7 - $25,000 < $50,000",2.55630250076729
"29104",2621,"M","Knoxville","TN","37909","Yes","Missing",1984,"UTK","Bachelor of Science","Bus Adm - UTK","Management",NA," "," "," "," ","No","","No","Missing","","N",1996,"WE6 - $50,000 < $100,000",1.39794000867204
"1809",2622,"F","Charlotte","NC","28211","Yes","Present",1982,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",NA," "," "," "," ","No","Yes","No","Missing","UTK - Chi Omega","Y",1983,"WE5 - $100,000 < $250,000",3.79098847508882
"40680",2623,"M","Paris","TN","38242","Yes","Present",1959,"UTK","Bachelor of Science","Bus Adm - UTK","Transportation/Logistics",NA," "," "," "," ","No","Yes","No","Present","UTK -  Alpha Tau Omega","Y",2006,"WE7 - $25,000 < $50,000",1.69897000433602
"15185",2624,"F","Greeneville","TN","37745","No","Present",2008,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration",NA," "," "," "," ","No","","No","Missing","","N",2013,"WEZ - Unable to Rate",1.69897000433602
"27998",2626,"M","Germantown","TN","38139","Yes","Missing",1989,"UTK","Bachelor of Science","Bus Adm - UTK","Economics",NA," "," "," "," ","No","","No","Missing","UTK - Pi Kappa Alpha","Y",2005,"WE5 - $100,000 < $250,000",3.24303804868629
"21249",2628,"M","Marietta","GA","30068","Yes","Present",2014,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",NA," "," "," "," ","No","","No","Missing","","N",2015,"WEZ - Unable to Rate",2
"14278",2629,"M","Maryville","TN","37801","Yes","Present",2002,"UTK","Bachelor of Science","Bus Adm - UTK","General Business",NA," "," "," "," ","No","","No","Missing","","N",2002,"WE6 - $50,000 < $100,000",1.3014640731433
"3685",2630,"M","Nashville","TN","37216","No","Present",1998,"UTK","Bachelor of Arts","Bus Adm - UTK","Economics",NA," "," "," "," ","No","Yes","No","Missing","UTK - Phi Gamma Delta","Y",1998,"WEZ - Unable to Rate",1.8750612633917
"41262",2632,"M","Cookeville","TN","38501","Yes","Present",1968,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",NA," "," "," "," ","No","","No","Present","","N",1977,"WE2 - $1 million < $5 million",4.10414555055401
"39668",2633,"M","Knoxville","TN","37950","Yes","Present",1995,"UTK","Bachelor of Science","Bus Adm - UTK","Statistics",NA," "," "," "," ","No","","No","Present","","N",1994,"WEA - $5,000 < $10,000",1.69897000433602
"18437",2634,"M","Hockessin","DE","19707","Yes","Present",2009,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration",NA," "," "," "," ","No","","No","Missing","","N",2011,"WE4 - $250,000 < $500,000",2
"23242",2635,"M","Signal Mtn","TN","37377","Yes","Present",2009,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",2011,"UTC","Master of Business Administration","Business - UTC","Business Administration","No","","No","Missing","","N",2009,"WE6 - $50,000 < $100,000",2.47712125471966
"18837",2639,"M","Franklin","TN","37067","Yes","Present",1995,"UTK","Master of Accountancy","Bus Adm - UTK","Accounting",NA," "," "," "," ","No","","No","Missing","","N",2015,"WE6 - $50,000 < $100,000",2.17609125905568
"37128",2640,"M","Franklin","TN","37064","Yes","Present",1979,"UTK","Bachelor of Science","Bus Adm - UTK","Marketing",1982,"UTK","Doctor of Jurisprudence","Law - UTK","Law","No","Yes","No","Present","","N",1981,"WE6 - $50,000 < $100,000",2.40654018043396
"19415",2641,"F","Fort Mill","SC","29715","Yes","Present",2000,"UTK","Bachelor of Science","Bus Adm - UTK","Logistics & Transportation",NA," "," "," "," ","No","","No","Missing","","Y",2000,"WE5 - $100,000 < $250,000",2.30102999566398
"29154",2643,"M","Clarksville","TN","37043","Yes","Missing",1989,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",1990,"UTK","Bachelor of Science","Bus Adm - UTK","Economics","No","","No","Missing","UTK - Phi Gamma Delta","Y",2004,"WEZ - Unable to Rate",2.69897000433602
"27874",2644,"M","Atlanta","GA","30308","Yes","Missing",1962,"UTK","Bachelor of Science","Bus Adm - UTK","Retailing",NA," "," "," "," ","No","","No","Missing","UTK - Pi Kappa Alpha","Y",1997,"WE7 - $25,000 < $50,000",2.39794000867204
"41952",2645,"F","Knoxville","TN","37933","Yes","Missing",1973,"UTK","Bachelor of Science","Bus Adm - UTK","Personnel Management",NA," "," "," "," ","No","Yes","Yes","Present","","Y",1988,"WE3 - $500,000 < $1 million",3.53793489149628
